#######################################
# statdisp.dat                        #
# selects when to show messages based #
# on stat values in the game          #
#######################################

# note - numbers on left hand (stat_num) must align up with numbers in STAT_VAR_CONSOLE_REF.TXT in "sa_docs" dir in AB

# stat_num  - unique stat id
# stat_name - name of stat (for reference)
# condition - this can be lessthan/morethan
# value     - value stat must reach to display message
# text_id   - text id from american.gxt text file to display

# stat text names - S - stat 
#						W - Weapon (PI - pistol, ) (ST - Standard, PR - Pro)
#						ST - Stamina (0 to 9 -level)
#						SK	- Skill	(0 to 9 -level) 
#						BO -  BODY 
###################################################################################

#stat_num	stat_name						condition	value	text_id
#========   =========      	 				=========   =====   =======


21		FAT									morethan	100		SBOFAT0			
21		FAT									morethan	200		SBOFAT1
21		FAT									morethan	400		SBOFAT2
21		FAT									morethan	800		SBOFAT3
21		FAT									morethan	1600		SBOFAT4

22		STAMINA	 		  					morethan	100		SSTSPT0
22		STAMINA	 		  					morethan	200		SSTSPT0
22		STAMINA	 		  					morethan	300		SSTSPT0
22		STAMINA	 		  					morethan	400		SSTSPT0
22		STAMINA	 							morethan	800		SSTSPT0
22		STAMINA	 							morethan	1600		SSTSPT0
22		STAMINA	 							morethan	3200		SSTSPT0
22		STAMINA	 							morethan	6400		SSTSPT0
22		STAMINA	 							morethan	12800		SSTSPT0
22		STAMINA	 							morethan	51200		SSTSPT0
22		STAMINA	 							morethan	102400		SSTSPT1

23		BODY_MUSCLE							morethan	100		SBOMUS0
23		BODY_MUSCLE							morethan	200		SBOMUS1
23		BODY_MUSCLE							morethan	400		SBOMUS6
23		BODY_MUSCLE							morethan	800		SBOMUS2
23		BODY_MUSCLE							morethan	1600		SBOMUS3
23		BODY_MUSCLE							morethan	3200		SBOMUS4						
23		BODY_MUSCLE							morethan	6400		SBOMUS5						

223		FLYING_SKILL						morethan	100		SSTFLY0	
223		FLYING_SKILL						morethan	200		SSTFLY1

225		UNDERWATER_STAMINA					morethan	100		SSTUND0
225		UNDERWATER_STAMINA					morethan	200		SSTUND1
225		UNDERWATER_STAMINA					morethan	400		SSTUND2
225		UNDERWATER_STAMINA					morethan	800		SSTUND3
225		UNDERWATER_STAMINA					morethan	1600		SSTUND4

229		BIKE_SKILL							morethan	100		SSKBIK0
229		BIKE_SKILL							morethan	200		SSKBIK1
229		BIKE_SKILL							morethan	400		SSKBIK2
229		BIKE_SKILL							morethan	800		SSKBIK3
229		BIKE_SKILL							morethan	1600		SSKBIK4

230		CYCLE_SKILL							morethan	100		SSKCYC0	
230		CYCLE_SKILL							morethan	200		SSKCYC2	
230		CYCLE_SKILL							morethan	400		SSKCYC1	
230		CYCLE_SKILL							morethan	800		SSKCYC3	
230		CYCLE_SKILL							morethan	1600		SSKCYC4	

64		RESPECT_TOTAL						morethan	100		SRES_
64		RESPECT_TOTAL						morethan	200		SRES0
64		RESPECT_TOTAL						morethan	400		SRES1
64		RESPECT_TOTAL						morethan	800		SRES2
64		RESPECT_TOTAL						morethan	1600		SRES3
64		RESPECT_TOTAL						morethan	3200		SRES4
64		RESPECT_TOTAL						morethan	6400		SRES5
64		RESPECT_TOTAL						lessthan	12800		SRESN0
64		RESPECT_TOTAL						lessthan	51200		SRESN1
64		RESPECT_TOTAL						lessthan	102400		SRESN2
64		RESPECT_TOTAL						lessthan	204800		SRESN3
64		RESPECT_TOTAL						lessthan	409600		SRESN4
64		RESPECT_TOTAL						lessthan	819200		SRESN5


69      WEAPONTYPE_PISTOL_SKILL				morethan	100		SWPIST
69      WEAPONTYPE_PISTOL_SKILL				morethan	200		SWPI_R
69      WEAPONTYPE_PISTOL_SKILL				morethan	400		SWPI_R
69      WEAPONTYPE_PISTOL_SKILL				morethan	800		SWPI_R
69      WEAPONTYPE_PISTOL_SKILL				morethan	1600		SWPI_R
69      WEAPONTYPE_PISTOL_SKILL				morethan	3200		SWPIPR

70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	100		SWSP_T
70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	200		SWSP_T
70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	400		SWSPST
70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	800		SWSP_R
70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	1600		SWSP_R
70      WEAPONTYPE_PISTOL_SILENCED_SKILL	morethan	3200		SWSPPR

71		WEAPONTYPE_DESERT_EAGLE_SKILL		morethan   	100		SWDEST
71      WEAPONTYPE_DESERT_EAGLE_SKILL		morethan	200		SWDE_R
71      WEAPONTYPE_DESERT_EAGLE_SKILL		morethan	400		SWDE_R
