# Generated by: CFG Studio 2.0.380
# Generated on: 2023-06-02 10:32:35
# File format: GTASA pedstats.dat
#
# Standard data:
STAT_PLAYER 0.0 5.0 50 50 50 50 1.00 0.44 50 2
STAT_COP 32000.0 19.0 10 30 100 50 1.43 0.11 30 1
STAT_MEDIC 32000.0 18.0 70 30 60 40 1.42 0.12 30 2
STAT_FIREMAN 32000.0 17.0 10 20 60 80 1.41 0.13 20 5
STAT_GANG1 32000.0 16.0 20 65 10 40 1.40 0.14 65 3
STAT_GANG2 32000.0 15.0 20 65 10 40 1.39 0.15 65 3
STAT_GANG3 32000.0 14.0 20 65 10 40 1.38 0.16 65 3
STAT_GANG4 32000.0 13.0 20 65 10 40 1.37 0.17 65 3
STAT_GANG5 32000.0 12.0 20 65 10 40 1.36 0.18 65 3
STAT_GANG6 32000.0 11.0 20 65 10 40 1.35 0.19 65 3
STAT_GANG7 32000.0 10.0 20 65 10 40 1.33 0.10 65 3
STAT_GANG8 32000.0 9.0 20 65 10 40 1.32 0.11 65 3
STAT_GANG9 32000.0 8.0 20 65 10 40 1.31 0.12 65 3
STAT_GANG10 32000.0 7.0 20 65 10 40 1.30 0.13 65 3
STAT_STREET_GUY 32000.0 6.0 45 30 30 60 1.29 0.14 30 2
STAT_SUIT_GUY 32000.0 5.0 35 60 60 30 1.28 0.15 60 2
STAT_SENSIBLE_GUY 32000.0 6.0 65 30 70 20 1.27 0.16 30 4
STAT_GEEK_GUY 32000.0 7.0 56 10 40 5 1.26 0.17 10 4
STAT_OLD_GUY 32000.0 8.0 40 10 40 5 1.25 0.18 10 2
STAT_TOUGH_GUY 32000.0 9.0 30 70 50 60 1.24 0.19 70 3
STAT_STREET_GIRL 32000.0 10.0 45 30 30 60 1.23 0.20 30 2
STAT_SUIT_GIRL 32000.0 11.0 30 60 60 30 1.22 0.21 60 2
STAT_SENSIBLE_GIRL 32000.0 12.0 65 30 70 20 1.21 0.22 30 4
STAT_GEEK_GIRL 32000.0 13.0 80 10 40 5 1.20 0.23 10 4
STAT_OLD_GIRL 32000.0 14.0 80 10 40 5 1.19 0.24 10 2
STAT_TOUGH_GIRL 32000.0 15.0 30 70 50 60 1.18 0.25 70 3
STAT_TRAMP_MALE 32000.0 16.0 60 50 20 10 1.17 0.26 50 3
STAT_TRAMP_FEMALE 32000.0 17.0 30 30 20 10 1.16 0.27 30 3
STAT_TOURIST 32000.0 18.0 100 20 70 30 1.15 0.28 20 2
STAT_PROSTITUTE 32000.0 19.0 40 20 40 100 1.14 0.29 20 3
STAT_CRIMINAL 32000.0 20.0 30 55 10 60 1.13 0.30 55 3
STAT_BUSKER 32000.0 21.0 49 20 40 90 1.12 0.31 20 3
STAT_TAXIDRIVER 32000.0 22.0 16 80 30 30 1.11 0.32 80 3
STAT_PSYCHO 32000.0 23.0 0 100 0 50 1.10 0.33 100 3
STAT_STEWARD 32000.0 24.0 40 30 70 20 1.09 0.34 30 4
STAT_SPORTSFAN 32000.0 25.0 40 50 70 20 1.08 0.35 50 3
STAT_SHOPPER 32000.0 26.0 30 75 50 40 1.07 0.36 75 4
STAT_OLDSHOPPER 32000.0 27.0 45 65 70 20 1.06 0.37 65 4
STAT_BEACH_GUY 32000.0 28.0 52 60 60 30 1.05 0.38 60 2
STAT_BEACH_GIRL 32000.0 29.0 59 30 30 60 1.04 0.40 30 2
STAT_SKATER 32000.0 30.0 40 40 60 80 1.03 0.41 40 4
STAT_STD_MISSION 32000.0 31.0 50 50 50 50 1.02 0.42 50 3
STAT_COWARD 32000.0 32.0 65 30 70 20 1.01 0.43 30 4
